,model_id,Variable,Remove,Prior,pvalue,Rsq,mape
0,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_PRIVATE LABEL_PRIVATE LABEL_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_2-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_ln_comp_acv,Competitor,-0.5852436607392626,0.105553193084794,0.9719694099129016,0.0715347193736305
1,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_blackfriday_flg,Own,-0.1208320146730685,0.0880136044997342,0.9719694099129016,0.0715347193736305
2,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_christmas_flg,Own,-0.159867485795516,0.0293527665978175,0.9719694099129016,0.0715347193736305
3,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_december_flg,Own,0.0561156216999547,0.4235135220752265,0.9719694099129016,0.0715347193736305
4,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_ln_acv,Own,1.137255164389661,1.089531657831456e-64,0.9719694099129016,0.0715347193736305
5,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_ln_base_price,Own,-1.2684128635279546,0.0006033163581715,0.9719694099129016,0.0715347193736305
6,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_ln_tpr,Own,-0.6254389502240199,0.1752100418643724,0.9719694099129016,0.0715347193736305
7,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_yearly_seasonality_segment,Own,-1.8346499616033327,0.5750817415963704,0.9719694099129016,0.0715347193736305
8,DOG FOOD_BIXBI_BIXBI_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_93-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,const,,14.015510099020766,2.915320348562516e-13,0.9719694099129016,0.0715347193736305
9,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_PRIVATE LABEL_PRIVATE LABEL_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_25-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_ln_comp_tpr,Competitor,0.6217354167156638,0.0863036353527108,0.8690897779396806,0.0379382321826566
10,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_christmas_flg,Own,-0.0456312400961834,0.2189015273819067,0.8690897779396806,0.0379382321826566
11,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_ln_acv,Own,0.4493316310182462,1.137798526656168e-26,0.8690897779396806,0.0379382321826566
12,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_ln_base_price,Own,-1.3739517659034122,9.182644000400279e-24,0.8690897779396806,0.0379382321826566
13,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_ln_tpr,Own,-0.8093117439547408,1.3302488986325888e-05,0.8690897779396806,0.0379382321826566
14,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_new_year_flg,Own,-0.0820051232301892,0.0128840268590356,0.8690897779396806,0.0379382321826566
15,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_stockpiling,Own,-0.0313072971509559,0.0394040324947218,0.8690897779396806,0.0379382321826566
16,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_yearly_seasonality_segment,Own,-0.8237365944124235,0.6234798770060768,0.8690897779396806,0.0379382321826566
17,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_2-8LB (DD-SML)_REM SEGMENT_76-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,const,,13.103129868052315,2.712138861769414e-61,0.8690897779396806,0.0379382321826566
18,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_40-petsmart b&m total ta-dog food-dry-usa-pet_care-hills,DOG FOOD_CANIDAE CORPORATION_CANIDAE_DRY_SINGLE PACK_21-39.9LB (DD-LRG)_REM SEGMENT_40-petsmart b&m total ta-dog food-dry-usa-pet_care-hills_blackfriday_flg,Own,0.0668324109709349,0.0474906836038534,0.9077692348522156,0.0356645548146644
